Legislation Name,Jurisdiction,Legislation Type,Act Name,Heading,Section Number,Paragraphs,Specificity,Management Domain,IUCN_L1,IUCN_L2,Clause Type
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Angler exemptions,4,"4
		  For the purpose of section 12 of the Act, a person is exempt who (a) angles in waters on premises operated under a licence or permit for breeding, holding or rearing fish under this Act or the Fisheries Act, (b) is a resident under 16 years of age, (c) is under 16 years of age, not a resident and is accompanied by a person 16 years or older who holds an angling licence and other licences required by regulation, and fish caught and kept by the younger person are included as part of the daily catch and possession limit of that older person, or (e) angles in any of the following waters while holding a sport fishing licence under the Yukon Territory Fishery Regulations (Canada):",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Interpretation & Purpose
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Number of licences,5,"5
		  For the purposes of section 14 of the Act, the number of licences of each kind that a person may obtain or be in possession of during each licence year is as follows: (a) one annual angling licence; (b) one conservation surcharge stamp for steelhead; (c) one conservation surcharge stamp for Kootenay Lake rainbow trout; (d) one conservation surcharge stamp for salmon; (f) one conservation surcharge stamp for Shuswap Lake rainbow trout; (g) one conservation surcharge stamp for Shuswap Lake char; (h) for non-resident aliens, one classified waters angling licence for the Dean River.",1,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Authorization & Mandate
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Angling fees,6,"6
		  The fees and conservation surcharges payable for a permit or an angling licence to angle for fish in non-tidal waters of the Province are those specified in Schedule C.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species","License, Permitting, & Exemptions"
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Adjustments to allocated angler day quota,11.1,"11.1
		  If a number specified in column 3 of Schedule A for a classified water is revised downward so that the number of angler days in the existing total allocation of angler day quota in a period specified in column 4 of Schedule A for the classified water exceeds the maximum allowable specified in column 3 of Schedule A for that period, the regional manager who is responsible for the classified water must adjust the allocation of angler day quota (a) by any method agreed upon by the regional manager and all of the affected angling guides, or (b) by applying the following:",2,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Instruction
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,"Cancellation, suspension or variation of angler day quota",11.2,"11.2
		  Subject to section 11.3, a regional manager may cancel, suspend or vary angler day quota held by a person if the person (a) fails to use substantially all of the person's angler day quota, without reasonable excuse, or (b) contravenes the Act or this regulation.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Authorization & Mandate
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Requirement to report,13.1,"13.1
		  Without limiting section 13 (1) (b), an angling guide who is authorized under the Act to guide for fish in a classified water must submit a report described in that section to the regional manager within 30 days after receiving a notice from the regional manager requesting the report.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Instruction
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Catch record,17,"17
		  A person who catches and retains any of the following fish shall immediately record, in ink, in the space provided on the back of the basic angling licence, the year, month, day and region in which the fish was caught: (a) a steelhead from the non-tidal waters of the Province; (b) a rainbow trout that measures more than 50 cm from the tip of the nose to the fork of the tail from Kootenay Lake east of a line between fishing boundary signs on opposite shores at Balfour Point and Proctor Lighthouse; (d) an adult chinook salmon from the non-tidal waters of the Province; (e) a rainbow trout that measures more than 50 cm from the tip of the nose to the fork in the tail from Shuswap Lake; (f) a char that measures more than 60 cm from the tip of the nose to the fork in the tail from Shuswap Lake.",1,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Instruction
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Offences,19,"19
		  It is an offence for a person (a) to angle on waters during periods specified for those waters in column 4 of Schedule A unless the person has in force all licences and permits required by the Act or regulations under that Act to fish those waters, (a.1) to contravene section 2.01 (4), (a.2) to contravene section 6.1, (b) being an angling guide or assistant angling guide, to act as a guide for fish for a person on waters if the person being guided for fish does not possess a classified waters angling licence for those waters, (c) being an angling guide, to guide for fish for a person on waters not specified in the angling guide's licence, (d) being an assistant angling guide, to guide for fish for a person on waters not specified in the licence of the employer angling guide, (e) to contravene section 13.1, (f) to contravene section 14, (g) to contravene section 15, (h) to contravene section 16, (i) to contravene section 17, (k) to fail to comply with the reporting conditions of an angling guide licence specified in section 13 (1) (b) or under section 13 (3) (c), or (l) to fail to comply with a condition of an angling guide licence or an assistant angling guide licence specified in section 13 (1) (c), (1.1) or (2) or under section 13 (3) (a) or (b).",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species","License, Permitting, & Exemptions"
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Angling guide exemptions,"3
		  (1)","3
		  (1) For the purpose of section 1 of the Act and regulations under the Act, ""guide for fish"" does not include a class of persons who operate (a) an aircraft or motor vehicle used for commercial purposes (b) a fishing school (a) is associated with a recognized educational institution, or (b) derives part of the person's income from work related to angling.",2,Transportation Infrastructure,"4. Transportation, Service & Security Corridors",4.2 Utility & Service Lines,Interpretation & Purpose
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Family fishing exemption,4.1		  (1),"4.1		  (1) An individual who is ordinarily resident in Canada is exempt from section 12 of the Act during the weekend in June in which Father's Day occurs, and the Friday immediately preceding that weekend, while angling in non-tidal water that is not a classified water.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species","License, Permitting, & Exemptions"
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Waters reserved for young or disabled anglers,"6.1
		  (1)","6.1
		  (1) In this section: (a) under 16 years of age, or (b) a disabled resident; (a) an authorized angler, or (b) a companion to an authorized angler, if the authorized angler has no more than 2 companions who are angling.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Application for an angling guide licence,10		  (1),"10		  (1) For each region of the Province in which an applicant for an angling guide licence proposes to guide for fish, the applicant must complete and submit an application in a manner satisfactory to the regional manager (a) by May 31 where the waters and terms and conditions covered by the application are the same as those in the licence for the preceding year, or (b) by January 15 where paragraph (a) does not apply.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species","License, Permitting, & Exemptions"
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Allocation of angler day quota,"11
		  (1)","11
		  (1) Subsections (1.1) to (2) apply with respect to angler day quota for classified waters. (a) a management plan applies to the classified water for which angler day quota is to be issued, (b) the allocation is in accordance with (c) the period for which the angler day quota is allocated is 20 years or less. (a) a process that requires an angling guide to bid for angler day quota for one or more classified waters by sealed tender or auction; (b) a process that requires an angling guide to submit a written proposal for the use of angler day quota; (c) a process that requires an angling guide to submit a sealed tender referred to in paragraph (a), together with a written proposal, as referred to in paragraph (b). (a) the angling guide submits to the regional manager an application, in the form required by the regional manager, for renewal of the angler day quota, and (b) at least 1/2 of the term of the existing angler day quota has elapsed. (a) issue angling guide licences for the licence year in excess of the number specified in column 2 of Schedule A for the classified water, or (b) allocate total angler day quota for a period specified in column 4 of Schedule A for the classified water in excess of the number of days specified for that period in column 3 of Schedule A.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species","Administration, Application, & Structure"
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Hearing,"11.3
		  (1)","11.3
		  (1) A regional manager may cancel, suspend or vary angler day quota under section 11.2 only after holding a hearing.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Authorization & Mandate
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Fees for angler day quota,"11.4
		  (1)","11.4
		  (1) A person who holds angler day quota must pay annually, for each day of angler day quota held, the applicable fee and conservation surcharge set out in Schedule C.1. (a) 45% of the amount required under that subsection (b) the remainder of the amount required by September 30.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Instruction
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Angling guide fees,"12
		  (1)","12
		  (1) The successful applicant for a licence to guide for fish must pay the applicable fee as follows: (a) for an angling guide: $400 plus a conservation surcharge of $50; (b) for an assistant angling guide: $130 plus a conservation surcharge of $20; (c) for an increase in angler day quota through transfer from another angling guide: $300.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species","License, Permitting, & Exemptions"
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Conditions of licence,"13
		  (1)","13
		  (1) The conditions of an angling guide licence are that the holder (b) report to the regional manager on or before the date specified in the licence, (c) not transfer the angler day quota or other rights under the licence to another person without the prior written approval of the regional manager of the region to which the licence applies, or (d) use substantially all of the holder's angler day quota or have a reasonable excuse for failing to do so. (a) a group that has more than 3 anglers, or (b) more than one group of anglers. (a) the non-resident or non-resident alien is included in the angler day quota of an angling guide, or (b) the holder of the licence has obtained the prior written approval of the regional manager to so accompany or assist. (a) limit the angling guide may guide for fish, (b) limit the species for which the angling guide may guide for fish, and (c) require, in addition to the requirements of subsection (1) (b) (ii), that the angling guide report",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species","License, Permitting, & Exemptions"
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Sale of fish prohibited,"14
		  (1)","14
		  (1) No person shall sell, barter or attempt to sell or barter fish caught by angling in the non-tidal waters of the Province.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Instruction
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Fish roe,15		  (1),"15		  (1) No person shall possess salmon roe or trout roe in an amount greater than 1 kg unless (a) the roe was obtained from a commercial source that lawfully obtained that roe, or (b) the person also has in the person's lawful possession fresh dressed salmon or trout, as the case may be, that was capable at the time it was caught of providing a quantity of roe exceeding 1 kg.",1,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Instruction
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Dressing or packing of fish,"16
		  (1)","16
		  (1) No person shall dress or pack a fish caught by angling in the non-tidal waters of the Province in a manner that obscures the means of identifying the species, number or size of fish caught. (a) by a person at that person's private residence, or (b) in circumstances to which the laws of the Province do not apply.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Instruction
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Collecting permit,"18
		  (1)","18
		  (1) A person who (b) collects fish for scientific purposes",2,,,,
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Classified waters angling licence,"2.01
		  (1)","2.01
		  (1) Subject to subsections (9) and (10) of this section and sections 4, 4.1 and 18, for the purpose of section 12 (a) of the Act, a person who angles in a classified water during a period specified in column 4 of Schedule A for the classified water must be the holder of both (a) a basic angling licence, and (b) a classified waters angling licence that permits angling in that classified water at the time the angling takes place. (a) in a classified water specified on the licence, and (b) on a date that is specified on the licence at the time the licence is issued.",2,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Interpretation & Purpose
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Allocating classified waters angling licences to non-guided non-residents and non-guided non-resident aliens,"2.02
		  (1)","2.02
		  (1) The director may establish one or both of the following for a classified water for a calendar year: (a) the maximum number of classified waters angling licences or angler days to be allocated to non-guided non-residents; (b) the maximum number of classified waters angling licences or angler days to be allocated to non-guided non-resident aliens. (a) before the lottery takes place, by means of a press release or other publication, giving (b) after the lottery, by giving",2,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Authorization & Mandate
Animal Health Act,Provincial,Act,Animal Health Act,Definitions,1,"1		  In this Act: (a) in relation to an animal, means an animal that regardless of whether the animal suffers, or exhibits any sign of suffering, any adverse effect from the notifiable or reportable disease, and (b) in relation to an animal product or byproduct, means an animal product or byproduct that came from, or may have come from, an animal referred to in paragraph (a); (a) a species of the animal kingdom, and (b) any organism prescribed as an animal; (a) collecting bodily fluids and substances for examination, (b) diagnostic imaging examinations, (c) skin testing, and (d) physical examinations; (a) a chemical, a toxic substance or another deleterious substance, or (b) a thing that contains a chemical, a toxic substance or another deleterious substance; (a) in contact with, or near, an animal or an animal product or byproduct affected by a notifiable or reportable disease, or (b) in a place in which a notifiable or reportable disease is or is likely present, (a) the chief veterinarian, and (b) a person appointed or retained as an inspector under section 71 [appointment of inspectors], subject to any limits or conditions of the appointment or retainer; (a) a veterinary diagnostic or research laboratory, (b) a medical or clinical diagnostic laboratory, (c) a medical research laboratory, (d) a laboratory that tests environmental samples, and (e) a laboratory, or a laboratory within a class of laboratories, designated by order of the minister as a laboratory for the purposes of this Act and the regulations made under it; (a) to determine its presence, identity, nature, effects or spread, (b) to avoid barriers to trade, or (c) for other reasons in the public interest; (a) engages in a regulated activity, or (b) assists, directs, supervises or employs a person referred to in paragraph (a) for the purpose of engaging in the regulated activity; (a) owns the animal or thing, (b) has custody or control of the animal or thing, or (c) is an operator in relation to the animal or thing; (a) to safeguard animal health, (b) to safeguard public health in relation to environmental toxins, infestations, syndromes or transmissible diseases that are or may be transmissible from animals to humans, (c) to avoid barriers to trade, or (d) for other reasons in the public interest; (a) is characterized by or associated with a group of signs, and (b) has an adverse effect on animal health; (a) animals; (b) animal products or byproducts; (c) prescribed things in relation to animals, or animal products or byproducts; (a) is caused by an infectious agent or its toxic products, and (b) may be transmitted in any manner and at any distance through an animal, a person, a thing, the environment or any other means;",2,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Authorization & Mandate
Animal Health Act,Provincial,Act,Animal Health Act,Must not cause disease,3,"3
		  A person responsible for an animal must not, in keeping or dealing with animals or in engaging in a regulated activity, act in a manner that the person knows, or ought to know, (a) may cause conditions that contribute to (b) may interfere with the prevention, control or eradication of a notifiable or reportable disease.",2,,,,Instruction
Animal Health Act,Provincial,Act,Animal Health Act,"Must not slaughter, destroy or dispose of affected or harmful things",8,"8
		  A person must not slaughter, destroy or dispose of any of the following except with the permission and in accordance with the instructions of an inspector, or in accordance with the regulations: (a) an animal or an animal product or byproduct the person knows to be, or has reason to believe may be, affected by a notifiable or reportable disease; (b) an animal the person knows has been, or has reason to believe may have been, administered medication, if the medication's withdrawal period, as indicated on the medication's packaging, has not yet expired; (c) an animal or an animal product or byproduct the person knows has been, or has reason to believe may have been, exposed to an environmental toxin that may be harmful to human health or the environment, regardless of whether the environmental toxin has been prescribed as a notifiable or reportable disease.",2,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Instruction
Animal Health Act,Provincial,Act,Animal Health Act,Power to do anything reasonably necessary,40,"40
		  If the circumstances described in section 39 [when general orders may be made] apply, an inspector may order a person to do anything that the inspector reasonably believes is necessary for one or more of the following purposes: (a) to determine the presence of a notifiable or reportable disease; (b) to identify, prevent, control or eradicate a notifiable or reportable disease; (c) to bring the person into compliance with this Act or a regulation made under it, or a term or condition of that person's licence or permit.",2,,,,Authorization & Mandate
Animal Health Act,Provincial,Act,Animal Health Act,General orders,41,"41
		  Without limiting section 40 [power to do anything reasonably necessary], an inspector may order a person to do one or more of the following: (a) keep an animal, an animal product or byproduct, or a thing in a specified place; (b) prevent an animal, an animal product or byproduct, or a thing from (c) prevent persons or animals from being exposed to an animal, an animal product or byproduct, or a thing; (d) provide to the inspector or a specified person information, records, samples or other things relevant to an animal's possible exposure to a notifiable or reportable disease, including information respecting (e) have an animal placed under the supervision or care of a specified person; (f) have an animal, an animal product or byproduct, or a thing examined by a specified person or under the supervision or instructions of a specified person, including (g) take preventive measures, including (h) do specific work in respect of a place, including removing or altering things found in the place and altering or locking the place to restrict or prevent entry to the place; (i) not deal with or dispose of an animal, an animal product or byproduct, or a thing, or do so only in accordance with a specified procedure; (j) stop operating, or not operate, a thing; (k) to protect the health of animals or of persons who may be exposed to diseases that are or may be transmissible from animals to humans, (l) attach an identifying mark or tag to an animal, an animal product or byproduct, or a thing; (m) provide evidence of complying with the order, including (n) make or keep a specific record; (o) take a prescribed action.",2,,,,Authorization & Mandate
Animal Health Act,Provincial,Act,Animal Health Act,Application of this Division,42,"42
		  This Division applies in respect of an order made under Division 2 [General Disease Control Orders] or 4 [General Orders] of this Part.",2,Invasive Species and Disease,,,"Administration, Application, & Structure"
Animal Health Act,Provincial,Act,Animal Health Act,Who may be the subject of an order,43,"43
		  Any of the following persons may be the subject of an order: (a) a person responsible for an animal that is or may be affected by, or at risk of being exposed to an animal affected by, a notifiable or reportable disease; (b) a person responsible for an animal product or byproduct that is or may be affected by a notifiable or reportable disease; (c) a person who has custody or control of a condition, thing or activity that presents a significant risk of causing a threat to (d) a person who has contravened (e) the owner or occupier of a place where",2,Species Status and Assessment,,,Authorization & Mandate
Animal Health Act,Provincial,Act,Animal Health Act,Must comply with veterinary advice,"6
		  (1)","6
		  (1) A person responsible for an animal who is informed by a veterinarian that the animal is or may be affected by a notifiable or reportable disease must comply with the instructions of the veterinarian, including instructions respecting diagnostic examinations and preventive measures.",2,Invasive Species and Disease,"8. Invasive / Other Problematic Species, Genes & Pathogens",8.2 Problematic Native Species,Authorization & Mandate
Animal Health Act,Provincial,Act,Animal Health Act,Must not keep or deal with affected animals,"7
		  (1)","7
		  (1) Except with the permission and in accordance with the instructions of an inspector, a person must not keep or deal with, in British Columbia, an animal that (a) was imported into British Columbia, and (b) the person knows, or ought to know, is affected by a notifiable or reportable disease.",2,,,,Instruction
Animal Health Act,Provincial,Act,Animal Health Act,Protected information,"16
		  (1)","16
		  (1) Except as permitted under section 17 [duty to keep information confidential] or 18 [personal information], a person described in section 17 (1) or 18 (1) must refuse to disclose the following: (a) information that would identify a person responsible for an animal or for an animal product or byproduct; (b) information that would identify an animal or an animal product or byproduct that is located at or in a specific place or on or in a specific vehicle; (c) information that would identify a specific place at which an animal or an animal product or byproduct is located; (d) information that would reveal that a notifiable or reportable disease is or may be present in a specific place or on or in a specific vehicle; (e) information that would reveal that an animal or an animal product or byproduct affected by a notifiable or reportable disease is (f) information that is derived from a sample taken under this Act or that is submitted to the ministry of the minister or a laboratory identified in an order of the minister.",2,Invasive Species and Disease,"8. Invasive / Other Problematic Species, Genes & Pathogens",8.2 Problematic Native Species,"License, Permitting, & Exemptions"
