legislation_name,url
Fisheries Act,https://laws-lois.justice.gc.ca/eng/acts/F-14/page-1.html
Fisheries Development Act,https://laws-lois.justice.gc.ca/eng/acts/F-21/index.html
Fishery (General) Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-53/index.html
Fishing and Recreational Harbours Act,https://laws-lois.justice.gc.ca/eng/acts/F-24/index.html
Fishing and Recreational Harbours Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-78-767/index.html
Fishing Collective Bargaining Act,
Fishing Vessel Safety Regulations,
"Fishing Zones of Canada (Zones 1, 2 and 3) Order","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1547/index.html"
Fishing Zones of Canada (Zones 4 and 5) Order,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1548/index.html"
Flood Relief Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96151_01
Foreign Missions and International Organizations Act,
Foreign Vessel Fishing Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._815/index.html"
Forest Act,
Forest and Range Practices Act,
Forest Planning and Practices Regulation,
Forest Service Road Use Regulation,
Freshwater Fish Marketing Act,
Government Actions Regulation,
Greenbelt Act,
Groundwater Protection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/39_2016
Gwaii Haanas National Park Reserve Order,
Hydro and Power Authority Act,
Impact Assessment Act,
Integrated Pest Management Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03058_01
Integrated Pest Management Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/604_2004
International Boundary Waters Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-445/index.html
International Boundary Waters Treaty Act,https://laws-lois.justice.gc.ca/eng/acts/I-17/index.html
International River Improvements Act,https://laws-lois.justice.gc.ca/eng/acts/I-20/index.html
International River Improvements Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._982/index.html"
Invasive Plants Regulation,
Land Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96245_01
Land Use Objectives Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/357_2005
Land-based Finfish Waste Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/68_94
Libby Dam Reservoir Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96262_01
Maanulth First Nations Final Agreement Act,https://laws-lois.justice.gc.ca/eng/acts/M-0.55/index.html
Major Works Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-320/index.html
Management of Contaminated Fisheries Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-90-351/index.html
Management Unit Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/64_96
Marine Mammal Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-56/index.html
Meat and Poultry Products Plant Liquid Effluent Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._818/index.html"
Metal and Diamond Mining Effluent Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-222/index.html
Microbeads in Toiletries Regulations,
Mines Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96293_01
Minor Works Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-170/index.html
National Historic Parks General Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-82-263/index.html
National Parks General Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-78-213/index.html
National Parks of Canada Fishing Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1120/index.html"
National Parks of Canada Water and Sewer Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1134/index.html"
National Parks Wildlife Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-81-401/index.html
Natural Resource Compliance Act,
Natural Resource Officer Authority Regulation,
Navigable Waters Works Regulations,
New Substances Notification Regulations (Organisms),
Oceans Act,https://laws-lois.justice.gc.ca/eng/acts/O-2.4/index.html
Order Designating Certain Excluded Classes of Projects,
Organic Matter Recycling Regulation,
Pacific Aquaculture Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2010-270/index.html
"Pacific Fishery Management Area Regulations, 2007",https://laws-lois.justice.gc.ca/eng/regulations/SOR-2007-77/index.html
Pacific Fishery Regulations 1993,https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-54/index.html
Park Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96344_01
"Park, Conservancy and Recreation Area Regulation",https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/180_90_00
Parks Canada Agency Act,
PCB Regulations,
Permits Authorizing an Activity Affecting Listed Wildlife Species Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2013-140/index.html
Persistence and Bioaccumulation Regulations,
Pest Control Products Act,
Pest Control Products Regulations,
Petroleum Refinery Liquid Effluent Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._828/index.html"
Physical Activities Regulations,
Private Managed Forest Land Act,
Private Managed Forest Land Council Matters Regulation,
Private Managed Forest Land Council Regulation,
Private Managed Forest Land Regulation,
Professional Governance Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18047
"Prohibition of Certain Toxic Substances Regulations, 2012",
Protected Areas of British Columbia Act,
Provincial Forest Use Regulation,
Pulp and Paper Effluent Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-92-269/index.html
Pulp Mill and Pulp and Paper Mill Liquid Effluent Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/470_90
Railway Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96395_01
Range Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04071_01
Range Planning and Practices Regulation,
Range Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/116_2005
Regulations Establishing Conditions for Making Regulations Under Subsection 36(5.2) of the Fisheries Act,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2014-91/page-1.html
Reportable and Notifiable Disease Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/7_2015
Reviewable Projects Regulation,
Riparian Areas Protection Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/97021_01
Riparian Areas Protection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/178_2019
Specialty Farm Operations Regulation,
Species at Risk Act,https://laws-lois.justice.gc.ca/eng/acts/S-15.3/index.html
Spheres of Concurrent Jurisdiction Environment and Wildlife Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/144_2004
Spill Contingency Planning Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/186_2017
"Spill Preparedness, Response and Recovery Regulation",https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/185_2017
Spill Reporting Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/187_2017
Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations,
Territorial Sea Geographical Coordinates Order,
The Hunting and Fishing Heritage Act,
Tla'amin Final Agreement Act,https://laws-lois.justice.gc.ca/eng/acts/T-11.2/index.html
Transport of Dangerous Goods Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96458_01
Transportation Act,
"Transportation of Dangerous Goods Act, 1992",
Transportation of Dangerous Goods by Rail Security Regulations,
Transportation of Dangerous Goods Regulations,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/203_85
Tsawwassen First Nation Final Agreement Act,https://laws-lois.justice.gc.ca/eng/acts/T-21.5/index.html
Vessel Pollution and Dangerous Chemicals Regulations,
Waste Discharge Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/320_2004
Wastewater Systems Effluent Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-139/index.html
Water Districts Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/38_2016
Water Protection Act,
Water Sustainability Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14015
Water Sustainability Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/36_2016
Water Utility Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96485_01
Weed Control Regulation,
Wildlife Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96488_01
Wildlife Act Commercial Activities Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/338_82
Wildlife Act General Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/340_82
Wildlife Area Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1609/index.html"
Wildlife Management Areas Regulation,
Woodlot Licence Planning and Practices Regulation,
"Wrecked, Abandoned or Hazardous Vessels Act",https://laws-lois.justice.gc.ca/eng/acts/W-12.3/index.html
Deposit Out of the Normal Course of Events Notification Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2011-91/page-1.html
Freshwater Fish Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/261_83
Permit Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/253_2000#section2.1
Municipal Wastewater Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/87_2012
Placer Mining Waste Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/107_89
