legislation_name,url
Environmental Data Quality Assurance Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/301_90
"Environmental Emergency Regulations, 2019",https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-51/index.html
Environmental Management Act,https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/414786120/03053/766933851/?xsl=/templates/browse.xsl
Environmental Protection and Management Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/200_2010
Environmental Response Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-252/index.html
Farm Practices Protection (Right to Farm) Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96131_01
Farming and Fishing Industries Development Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96134_01
Fish and Seafood Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15014
Fish and Seafood Licensing Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/261_2016
Fish Toxicant Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-88-258/page-1.html
Fisheries Act,https://laws-lois.justice.gc.ca/eng/acts/F-14/page-1.html
Fisheries Development Act,https://laws-lois.justice.gc.ca/eng/acts/F-21/index.html
Fishery (General) Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-53/index.html
Fishing and Recreational Harbours Act,https://laws-lois.justice.gc.ca/eng/acts/F-24/index.html
Fishing and Recreational Harbours Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-78-767/index.html
Fishing Collective Bargaining Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96150_01
Fishing Vessel Safety Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1486/index.html"
"Fishing Zones of Canada (Zones 1, 2 and 3) Order","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1547/index.html"
Fishing Zones of Canada (Zones 4 and 5) Order,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1548/index.html"
Flood Relief Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96151_01
Foreign Missions and International Organizations Act,https://laws-lois.justice.gc.ca/eng/acts/F-29.4/index.html
Foreign Vessel Fishing Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._815/index.html"
Forest Act,https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/1198514681/96157/1707335304/?xsl=/templates/browse.xsl
Forest and Range Practices Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02069_01
Forest Planning and Practices Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14_2004
Forest Service Road Use Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/70_2004
Freshwater Fish Marketing Act,https://laws-lois.justice.gc.ca/eng/acts/F-13/index.html
Government Actions Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/582_2004
Greenbelt Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96176_01
Groundwater Protection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/39_2016
Gwaii Haanas National Park Reserve Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-96-93/index.html
Hydro and Power Authority Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96212_01
Impact Assessment Act,https://laws-lois.justice.gc.ca/eng/acts/I-2.75/index.html
Integrated Pest Management Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03058_01
Integrated Pest Management Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/604_2004
International Boundary Waters Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-445/index.html
International Boundary Waters Treaty Act,https://laws-lois.justice.gc.ca/eng/acts/I-17/index.html
International River Improvements Act,https://laws-lois.justice.gc.ca/eng/acts/I-20/index.html
International River Improvements Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._982/index.html"
Invasive Plants Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18_2004
Land Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96245_01
Land Use Objectives Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/357_2005
Land-based Finfish Waste Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/68_94
Libby Dam Reservoir Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96262_01
Maanulth First Nations Final Agreement Act CA,https://laws-lois.justice.gc.ca/eng/acts/M-0.55/index.html
Maanulth First Nations Final Agreement Act BC,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/07043_00_multi
Major Works Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-320/index.html
Management of Contaminated Fisheries Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-90-351/index.html
Management Unit Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/64_96
Marine Mammal Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-56/index.html
Meat and Poultry Products Plant Liquid Effluent Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._818/index.html"
Metal and Diamond Mining Effluent Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-222/index.html
Microbeads in Toiletries Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-111/index.html
Mines Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96293_01
Minor Works Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-170/index.html
National Historic Parks General Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-82-263/index.html
National Parks General Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-78-213/index.html
National Parks of Canada Fishing Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1120/index.html"
National Parks of Canada Water and Sewer Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1134/index.html"
National Parks Wildlife Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-81-401/index.html
Natural Resource Compliance Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/11021_01
Natural Resource Officer Authority Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/38_2012
Navigable Waters Works Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1232/index.html"
New Substances Notification Regulations (Organisms),https://laws-lois.justice.gc.ca/eng/regulations/SOR-2005-248/index.html
Oceans Act,https://laws-lois.justice.gc.ca/eng/acts/O-2.4/index.html
Order Designating Certain Excluded Classes of Projects,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2025-60/index.html
Organic Matter Recycling Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18_2002
Pacific Aquaculture Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2010-270/index.html
"Pacific Fishery Management Area Regulations, 2007",https://laws-lois.justice.gc.ca/eng/regulations/SOR-2007-77/index.html
Pacific Fishery Regulations 1993,https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-54/index.html
Park Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96344_01
"Park, Conservancy and Recreation Area Regulation",https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/180_90_00
Parks Canada Agency Act,https://laws-lois.justice.gc.ca/eng/acts/P-0.4/index.html
PCB Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-273/index.html
Permits Authorizing an Activity Affecting Listed Wildlife Species Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2013-140/index.html
Persistence and Bioaccumulation Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2000-107/index.html
Pest Control Products Act,https://laws-lois.justice.gc.ca/eng/acts/P-9.01/index.html
Pest Control Products Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2006-124/index.html
Petroleum Refinery Liquid Effluent Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._828/index.html"
Physical Activities Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-285/page-1.html
Private Managed Forest Land Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03080_01
Private Managed Forest Land Council Matters Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/372_2004
Private Managed Forest Land Council Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/182_2007
Private Managed Forest Land Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/371_2004
Professional Governance Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18047
"Prohibition of Certain Toxic Substances Regulations, 2012",https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-285/index.html
Protected Areas of British Columbia Act,https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/1922970521/00017/2013893993/?xsl=/templates/browse.xsl
Provincial Forest Use Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/176_95
Pulp and Paper Effluent Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-92-269/index.html
Pulp Mill and Pulp and Paper Mill Liquid Effluent Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/470_90
Railway Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96395_01
Range Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04071_01
Range Planning and Practices Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/19_2004
Range Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/116_2005
Regulations Establishing Conditions for Making Regulations Under Subsection 36(5.2) of the Fisheries Act,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2014-91/page-1.html
Reportable and Notifiable Disease Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/7_2015
Reviewable Projects Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/243_2019
Riparian Areas Protection Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/97021_01
Riparian Areas Protection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/178_2019
Specialty Farm Operations Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/53_99
Species at Risk Act,https://laws-lois.justice.gc.ca/eng/acts/S-15.3/index.html
Spheres of Concurrent Jurisdiction Environment and Wildlife Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/144_2004
Spill Contingency Planning Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/186_2017
"Spill Preparedness, Response and Recovery Regulation",https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/185_2017
Spill Reporting Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/187_2017
Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-197/index.html
Territorial Sea Geographical Coordinates Order,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1550/page-1.html"
The Hunting and Fishing Heritage Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02079_01
Tla'amin Final Agreement Act CA,https://laws-lois.justice.gc.ca/eng/acts/T-11.2/index.html
Tla'amin Final Agreement Act BC,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/13002_00_multi
Transport of Dangerous Goods Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96458_01
Transportation Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04044_01
"Transportation of Dangerous Goods Act, 1992",https://laws-lois.justice.gc.ca/eng/acts/T-19.01/index.html
Transportation of Dangerous Goods by Rail Security Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-113/index.html
Transportation of Dangerous Goods Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2001-286/index.html
Tsawwassen First Nation Final Agreement Act CA,https://laws-lois.justice.gc.ca/eng/acts/T-21.5/index.html
Tsawwassen First Nation Final Agreement Act BC,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/07039_00_multi
Vessel Pollution and Dangerous Chemicals Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-69/index.html
Waste Discharge Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/320_2004
Wastewater Systems Effluent Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-139/index.html
Water Districts Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/38_2016
Water Protection Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96484_01
Water Sustainability Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14015
Water Sustainability Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/36_2016
Water Utility Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96485_01
Weed Control Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96487_01
Weed Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/66_85
Wildlife Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96488_01
Wildlife Act Commercial Activities Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/338_82
Wildlife Act General Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/340_82
Wildlife Area Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1609/index.html"
Wildlife Management Areas Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12_2015
Woodlot Licence Planning and Practices Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/21_2004
"Wrecked, Abandoned or Hazardous Vessels Act",https://laws-lois.justice.gc.ca/eng/acts/W-12.3/index.html
Deposit Out of the Normal Course of Events Notification Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2011-91/page-1.html
Freshwater Fish Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/261_83
Permit Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/253_2000#section2.1
Municipal Wastewater Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/87_2012
Placer Mining Waste Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/107_89
Large Fishing Vessel Inspection Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1435/index.html"
Forest Practices Code of British Columbia Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96159_01
